wss.1004f30be305f33d28a1548e344f0e2e	111.97104\,84.16881\,0.0
wss.64ccb121147c56af48ce81ccd3000f65	24.45303\,9.750104\,21.870434
wss.64ce0c349a57f9ca488887a53f46a53	12.751958\,14.4880085\,12.751958
wss.64d0f2752aea0f40a99e0f0bf1de3bbf	41.285763\,77.56281\,60.225304
wss.64d97464f86b591caf17412e945e52f4	8.119999\,235.26013\,170.57547
wss.64de829974eda65ad64b7af7b23f8df9	7.375805\,27.86684\,110.54515
wss.64ead031d2b04ef0504721639e19f609	67.83417\,92.81166\,60.29901
wss.64f66d26e14c1264678087f8bcb7a099	63.62479\,56.997208\,63.62479
wss.64fb603aa73c0371f9e47df92c5a8c4e	84.485794\,66.77919\,23.777435
wss.64fca5cd27943b1cd4d8765e3910f617	46.99973\,72.231255\,46.99973
wss.65047864cb83c1ad3457dcdf88b5c5d2	488.13443\,259.81613\,514.719
wss.651706776926937314b86d5282eb8301	257.50537\,73.64651\,123.60257
wss.651825dabaf7affb8a03cebc2cdcff4a	53.70117\,123.787315\,53.70117
wss.6519a8929afa98739de171e0db680498	31.442877\,67.01732\,31.442865
wss.65241ba4ba4a01548583b322446817ae	182.97957\,271.07135\,182.97957
wss.65272cce3c885c25a219da79e888939b	355.80063\,169.80002\,4.99999
wss.652975c578e7aff779c2864ed0a7e572	113.77472\,90.1767\,3.7926788
wss.652fdb524199d6d3d6861244c57327ec	140.06555\,35.79184\,76.828865
wss.65309e7601a0c65d82608d43718c2b7	189.11903\,107.27425\,115.796425
wss.653776d3f5cf198ccf004563556ddb36	46.99991\,179.99988\,46.99991
wss.653a03547f2b8b3f80360680c1602c7d	27.434597\,23.066065\,28.567549
wss.6547433f606945dbd9d6eb448e778c01	37.473\,43.982117\,6.688507
wss.654e480e02b835eb2c1e649da770b633	62.903458\,143.11813\,39.81021
wss.654ebe35ec5c1cc676b32b03a2729ae2	2.312162\,10.785597\,50.96712
wss.654f68a2471715a3c525fc212bb76836	255.59628\,148.64479\,72.50983
wss.655c8c60dfc6fd4e594e9dc890a68696	30.978445\,22.267427\,30.978445
wss.655dc5a5376e9c8152c3271e911ffe19	20.57559\,4.708835\,23.75676
wss.6560e938bffb3df1d0063b5c282d168a	6.6693115\,2.9290416\,22.707458
wss.6566d89cf6d6075c955a1453af41c99	17.55473\,3.7218094\,96.70459
wss.656925921cfaf668639c9ca4528de8f2	213.51562\,42.851562\,115.10156
wss.656cd8d018f443ea336e4aeffdba178f	161.69809\,62.941116\,34.76246
wss.656d25df742a84877e44e3c724db889f	18.460703\,71.15482\,49.177197
wss.656f7ddfa0cdedee35d768933c3d9f8f	32.0497\,7.709769\,27.804981
wss.6571b20bc739a9f9405738a4d4d0fc7f	20.194931\,0.75575066\,1.1295109
wss.65721c2b06dede92b8e50e34d97cfe72	222.06886\,83.68401\,119.97919
wss.657ac0f51f14a6003321831d2245cf06	75.137566\,121.19432\,110.99793
wss.657c79b83ab8d3079a85260e38aed309	13.361938\,17.322735\,3.6586456
wss.657f0c1463bca60bb1f22994b7c16552	214.04834\,381.04782\,272.3576
wss.657f4ceae6dfd569e4a0343342fcaf0	0.80468947\,20.21559\,0.80468947
wss.65856b8ae189a3a13d5da2a72f595df5	146.64075\,89.83776\,58.36818
wss.65917b9ac082b6a78af30108ea9ccb6c	84.12402\,118.33597\,3.2640839
wss.659192a6ba300f1f4293529704725d98	23.5531\,13.1037655\,23.553051
wss.659210019333350b4bdecf2af2307ad	79.15652\,57.600662\,13.328091
wss.65929d262a58d9e8fdaa51cdb5785d22	1799.6663\,1799.9995\,1799.849
wss.659f3d80d4a92322ab0b172d4dea80cd	27.35664\,0.07940943\,27.35664
wss.65a09c8fc201a29411053a770408f0d	142.69301\,223.83218\,46.515137
wss.65a34810e74a58ab35836c728d324152	91.39012\,106.62125\,57.274414
wss.65a709aa731f7d75680558279a114842	262.9008\,10.200005\,262.9008
wss.65b21a2af8709510f91663a74ccd2338	82.63263\,117.08963\,73.95812
wss.65b5d6772b803d1553be30a3d3c80fc0	774.2351\,680.9993\,796.3611
wss.65c02d42310072893ad5c8c907218ae5	29.932343\,5.9376564\,107.410446
wss.65c444aedbf6cadddc2cc88ffd9f209a	46.028183\,45.83082\,46.398045
wss.65c4566ed2b98478b1841ed8e16e8314	83.73552\,38.79418\,41.000046
wss.65d6456fa77b526da2c7c5886f4bbc93	11.777847\,23.775307\,2.0225399
wss.65d75bb347a0eb34e1fb5da49c9e25d6	116.10788\,78.33474\,2.1321907
wss.65d7ed8984d78a797c9af13aaa662e8e	20.9251\,6.380273\,23.036964
wss.65da59d2c3d8b6825284f614a5c1b290	98.19437\,121.40953\,152.58517
wss.65dcdb468234c4f64e2e1b2af0cc59a7	161.23772\,95.73489\,80.88759
wss.65e090450ca44450854cb8d56920e159	77.78027\,127.475105\,79.53528
wss.65e116e5be55d7494a00638a85776e89	57.457214\,153.35422\,77.567444
wss.65e604256f2535e58d40b9a7361804ed	76.928024\,43.112263\,88.32495
wss.65e7b3316245780bb5512a11bb8b2bf4	122.749725\,66.8397\,46.313496
wss.65e9a2abb2a6fbb2b8183a4a81361b94	45.52435\,86.27542\,8.350177
wss.65f662860fdf6966aa3366a49fbad471	120.00001\,50.192913\,134.26491
wss.65f9103ab7a64e83cb7105765410e2d6	108.04318\,92.91714\,80.49217
wss.65f97cb765ed7a1fe21d0ca95583f38	109.857544\,118.49814\,350.28683
wss.65fa6b739bf4ad8aa85cfef42aa9df43	8.345329\,33.83097\,29.012518
wss.65fc2d047b892a9af461c598b20d55b6	150.53691\,119.7737\,63.561974
wss.65ffbf90f3316cabb641dcdb5b12acd5	27.225145\,20.726822\,16.15921
wss.6608e9a9ad1769adac1821cb49642d75	4.599457\,16.742401\,5.435608
wss.660df170c4337cda35836c728d324152	197.03004\,87.95491\,118.85129
wss.661c9add23236b071fb6fe263d17638b	192.80023\,162.91434\,130.94818
wss.661f1f07ee3cf13a77d7528e1646c585	23.55246\,73.17847\,23.554565
wss.6625567b0c22800524dc97938ca5e893	79.137505\,92.315544\,54.037586
wss.66265ebbe26bbbb384c546dd6dd39142	40.000046\,64.5001\,14.999994
wss.6633b658534938ded02b906026bee536	45.175137\,75.29189\,71.12176
wss.66347eeab2c719b6f11c3739edd52fa3	20.308218\,40.583702\,22.445724
wss.6639c01d743afc72c91b64488bbe5573	1.8712797\,20.091295\,1.6205752
wss.663cf5c8c88a187b6fa3ef67a69ab460	179.44983\,101.911194\,58.271088
wss.663e8f056e9ea81772e0da953d900dd	64.869064\,66.450165\,7.164013
wss.6642f712146b65d959aed18156aac466	11.814366\,34.035664\,11.814366
wss.6649ded753168ba1e7e684d25d4dcaf0	36.486458\,62.955963\,36.48633
wss.664eb477f8098678f1783a44a88d6274	53.62704\,99.22052\,64.28965
wss.665bfb42a0362f71d577f4b88a77dd38	82.352776\,97.05891\,99.14427
wss.666400dc0848d72bbbbcb4c3fd67f3e4	76.56378\,107.94542\,69.52898
wss.66683c677e7b40593c2e50348f23d3d	77.72016\,118.58537\,76.96635
wss.666d9cceca3ccf23f4716a118b19c938	121.47913\,64.36811\,52.721397
wss.666de8666b386ecf6683af1fb8f2ddd	18.481018\,78.968346\,83.03259
wss.666def8846d38ceeafe7a66770789494	41.910004\,91.439995\,73.628235
wss.666e9c3ff214f7a661c1d97b345c8391	39.269535\,91.14359\,92.459206
wss.667164a0c8b615b7e6b08d1820a0de4	64.10566\,97.81269\,63.48415
wss.66725b8cad4355a03735baeeeb56a00	66.04\,81.28\,60.96
wss.6675068ac1eeb8197db8a665a329f99	9.88161\,18.257837\,9.88161
wss.667931026fefbfde52c3271e911ffe19	56.669018\,31.225994\,41.83133
wss.667ad0330fb27135dac42bdc1d2df4a3	46.296932\,139.04279\,46.55182
wss.667bec36787219ba959d688c13bc4d6e	90.33992\,146.47972\,67.561874
wss.667f4b67f95790b975ffe5b08493cffc	39.535675\,16.647785\,18.128819
wss.667feb014ec060c4855931d119219022	88.09306\,107.669304\,88.09306
wss.6683cadf1d45d69a3a3cbcf1ae739c36	18.833826\,36.910507\,4.1709557
wss.669043a8ce40d9d78781f76a6db4ab62	9.891422\,9.147567\,26.780495
wss.6690bde1159376df33f2ccb4064f11c5	53.125572\,5.3732276\,44.094177
wss.66922901b74190cf7c70545e85230d83	65.78589\,65.91559\,2.2535286
wss.66993624d8b4d2ebbb94613ebae491f	13.36871\,24.982826\,0.70819294
wss.66a47e61a76c12d878fb37c7a4fa99b8	1.0623443\,20.184542\,1.0623443
wss.66a5256dbeaf0b934c403e3f24eb1ff7	41.88298\,6.357599\,62.82791
wss.66a7a9a417660413e2364c65f912dcd4	11.554678\,117.62149\,10.7020855
wss.66a82a157f4a1c9a22e05b27cb30bde	128.05823\,167.18726\,38.86231
wss.66ac484b46abdc4c694afea2e3c77a94	69.23785\,63.61751\,118.55674
wss.66ac53f9bbe5a79fd810b14a81e12eca	139.19397\,31.318644\,69.596985
wss.66add7facfc1942886b3f898d28dd325	197.11899\,215.93962\,197.11923
wss.66b281a91f4da81d749d52b3e269018	160.20108\,108.87171\,36.512497
wss.66b29a0b56c2b69d25af37f812eb1801	100.625534\,96.55075\,81.12106
wss.66b327d254ac1d7eeaa00445ba4a9ddd	185.78387\,136.87169\,52.34173
wss.66cb0080b34fc259e8058cf23f6382c1	85.22392\,62.52155\,31.4777
wss.66cb32e2e8fa2d62df6cfab91d65bb91	41.999916\,1.4999995\,31.999935
wss.66cdea8432907e9fb99d331574136d26	190.59222\,108.99185\,235.73802
wss.66cf0a36c4bcef8e1f0d77760f3a597	105.99977\,105.99989\,38.000076
wss.66cf69a98ff895e2b55fde51a411949f	34.440617\,169.10416\,34.440353
wss.66d217d4d2b6d427e8b3435a5b6290c7	198.43744\,60.96\,137.79504
wss.66d438bfe4c0d94b8857f7f29fcde7bd	24.414124\,51.071823\,56.28384
wss.66d9f9f961a12754d1fdf116b1be3b27	40.204273\,92.09583\,50.0216
wss.66db738a684ae0083e782d91c1fd205c	27.999924\,12.000001\,45.000153
wss.66dfcafd1ca29817de1afe4c8aa3dcce	34.50694\,39.895077\,24.13101
wss.66e3ee58dd50dfed29131a7a5d37d635	39.72964\,21.638199\,11.027733
wss.66e6f4deb381532bc1ff310ecf2362af	36.512512\,186.055\,182.88025
wss.66ea5e3f00c685207a39665f572b1900	190.93735\,587.2818\,21.236868
wss.66f193b8f45cd9525582003645829560	215.7923\,59.20408\,103.10284
wss.66f56dc9a4751bded9651cd1d591d64d	256.58005\,52.23589\,99.87239
wss.66f8756bf4ab28d1782557e7a01bec2e	1.8330978\,25.361317\,1.7913458
wss.66fbe6533abfe75195b26656722dea64	67.72798\,147.67448\,67.72777
wss.6700b56cbab318a522297cd9a670082	170.97469\,223.53862\,91.68265
wss.670b3162fe029fabd9dca9cd630ba2ba	15.963055\,24.363266\,15.962925
wss.670b45cb308014ea413908c0e169330	75.52064\,116.3396\,82.39453
wss.670be347dc6411cd3504403c94a7689	39.796093\,10.175247\,25.664417
wss.670cab82f5f30596bcbb3468b0bfc2ac	33464.492\,2559.8374\,30529.273
wss.6712613a93a9cf0d398968fd209b2972	20.210184\,0.8342355\,0.8342363
wss.6713fd67e66aa1c4c3bef1f91a7d19a5	83.21832\,68.65558\,22.886658
wss.67175832b1aad314794df10f32840e3d	66.70282\,128.93689\,4.1090393
wss.67192701cf183eaaf2a2172bfa1bbe55	60.533752\,34.7732\,19.850021
wss.671f6653ad0cbe9535836c728d324152	79.68317\,57.286057\,79.68341
wss.67249a45e723e4ffdf89c316d2a51074	239.99951\,298.93652\,2470.409
wss.6730f663d0e012506f525e79a05bbcb3	66.53314\,98.719666\,87.385574
wss.6731e740bc389884ac31c8d39713fb51	141.42462\,385.15594\,58.10254
wss.6732e4e03fe3bec473c7a06971d1b32f	42.63332\,46.080658\,58.81047
wss.673393cb60908c9da909cd1ba5751669	63.40551\,113.81104\,63.405518
wss.6734a3c4acecddd6a93d9d7058352745	173.01794\,112.0677\,3.18499
wss.6734fc1b08d9572d372fd8fa16ad068d	107.38397\,4.801777\,30.229244
wss.67379adcc4ec48b9a2ea77a3f69fb543	134.64896\,109.99953\,243.80313
wss.673d78d408bf142b9642f282fb76cb9	12.265644\,34.24549\,13.391058
wss.674ca67d5876e229d7c94fd3267ccbc	112.56406\,109.22883\,63.369396
wss.6753572868705eacdd043998582f5fa	9.439278\,28.523691\,9.043331
wss.6754d2ca8f76f979b2372ed20a2d69c8	86.57554\,43.295013\,43.28771
wss.675a2f41b7e1e94466ccbd11a6ef0f68	185.98389\,308.38647\,272.49274
wss.67609f1b7fd636731085a6d70c973b41	281.82614\,136.1963\,118.60189
wss.67641d5252962e652e14ed73aa771ef5	39.99992\,38.402008\,38.22211
wss.676bd6a4f7b3bafdcf004563556ddb36	100.000046\,76.00011\,35.00006
wss.67737b5751c869fbc21ab023f0ac9651	102.86786\,113.43142\,223.35736
wss.677604af8dce0d0d2ea36af129782398	69.542885\,104.41148\,57.335987
wss.67775df4b93eeb1db6378af21f637882	143.48318\,95.09283\,41.075684
wss.677bba5e1e4401696ba48ad847d7558e	828.6289\,325.75244\,543.22546
wss.678a0343ad293c543f217b945a063dd2	52.40071\,17.862059\,52.69461
wss.6790d97f853cee027f45370489ca3156	14.494612\,12.7\,14.494612
wss.67948a2e43af2e36346ba48cc67751fb	47.966003\,120.78113\,45.620514
wss.679764407dcf5b637759be9cd23a0f2	598787.5\,352614.72\,0.0
wss.679c9469f32e957d329e3597d8f4bd9a	9.222191\,19.342255\,69.27252
wss.67a30cc2247d16e7ef2581bce09dd1a3	113.54555\,102.28259\,72.58797
wss.67a508f171d450b735836c728d324152	62.41629\,62.04483\,22.245861
wss.67adaeaa69ba6a177843fb4efdc19510	228.3437\,21.15859\,46.112816
wss.67b317ede52abacc96f177618e585eb9	27.164183\,88.73633\,7.922887
wss.67b48afbd7e12e1969fb87c90c7e9d0b	167.90965\,260.69852\,31.291578
wss.67c1a05819eac1e249dd82184c01c565	58.80037\,156.82347\,54.05789
wss.67c76927b842044fa570c6c691c987a8	6.104057\,3.3473861\,6.104057
wss.67d466a374e88c3de80df3c23687288a	71.2038\,43.61133\,23.21236
wss.67d830f9ed40d19077e21aa92afd81b0	1692.6976\,3133.6057\,1060.9783
wss.67d9afec46e20fd279c4b4a860b67e81	102.785095\,89.32332\,114.92131
wss.67dfd946f41bc4ff823f914654f4e75a	21.126677\,66.312546\,54.58439
wss.67e4d0cf70b87600ddf024f7de40d58f	83.43025\,44.49611\,42.51218
wss.67e882442eb4c03255e8ddeaf1791474	40.509434\,32.974422\,37.06423
wss.67ec1e286a8b98ac9d51ac0c2e3f1a96	544.50995\,152.99817\,651.63696
wss.67ed8e9cca1e1e89c890e9e5b63a07d7	1.620388\,20.110247\,1.620388
wss.67efc9109b2b64211ba7a7e54b0d6212	110.631454\,54.29167\,11.657709
wss.67f091721c90a533d747b49524a1246e	22.681595\,75.2128\,20.53254
wss.67f50d2bf77aec1be55d7f7950723ffc	19.944824\,65.63278\,55.355225
wss.67f685c3c6668017723d6683e1568a48	72.44004\,59.690002\,67.37655
wss.67fb05261fbd0048643bc5e60b471691	128.2848\,82.92663\,54.04342
wss.67fc07a1d2d71bdc6af54a1f6b919e66	57.069992\,98.513214\,57.06999
wss.67fc7b48caae610b18b14db3b83de9ff	318.06055\,43.997623\,74.68814
wss.67fe55fe88466c73e25492f5f62d416f	49.08297\,106.76683\,49.106155
wss.6807e9c9868efb4ea93f44a78566235f	21.767971\,56.18253\,85.98832
wss.68091c9c1d166b2575f4e5007488531	60.0001\,45.92574\,57.317387
wss.680e5d7185a51e26a50ffe9b7408540a	17.66151\,63.521385\,58.95958
wss.681ab828f572596716b34c3751bc447d	240.59836\,137.23383\,337.10382
wss.681e91bbadebeac529471183b63392dc	16.389385\,31.567516\,13.153482
wss.6821923e75e32652c09bba4f808ad8c3	21.337019\,38.467636\,21.910278
wss.6824a2dc649d72353eebb3d2fa0ecb59	73.32477\,62.659813\,79.2139
wss.682f8ddd5cd3b09f98028edbed26f322	96.52\,182.88\,92.71
wss.683513ab84e2a3bcb166a30143754bb2	253.00374\,243.98112\,219.2802
wss.68413d63838d37dbdd6a2f6a8ecad52d	8791.712\,4556.837\,9140.14
wss.68582543c4c6d0bccfdfe3f21f42a111	28.495913\,11.825792\,28.495913
wss.6868aac7c700ebecb52e9c8db06cc58b	32.859077\,16.381514\,32.666935
wss.686a205c36f5c85443ee5a34155b4f2b	58.525425\,58.52539\,6.8495035
wss.686c5c4a39de31445c31d9fe12bfc9ab	193.3018\,73.45788\,194.6825
wss.686dfa4449cbe192baf31bf516806a37	16.518337\,34.751514\,79.64125
wss.687c5f6418e0d5a19322e8429d3f38b3	329.5637\,603.885\,614.0453
wss.6885079409e1f5bfc7cb9b0d75b76b8	207.24213\,43.047504\,130.72195
wss.6888d8702b758476fc350be62d126bad	74.38569\,44.60068\,56.792217
wss.6889b57260fba5ffece7d37acfab631a	71.57468\,91.53964\,43.66483
wss.688aecf9400346295fbc99e999c340ed	30.208038\,28.621613\,109.00986
wss.68937e69ee6e9c321a377a4ec1b004d4	68.382935\,65.14466\,59.3543
wss.6897b6e1470cdd4af8e8ff67ecd10c0b	20.031357\,25.078728\,12.095285
wss.689fe527c10a9618c27eeaf34d145098	243.52954\,32.97377\,80.239944
wss.68a94becfec1965e21d6b7a56ef55b4	52.895798\,61.62786\,14.452469
wss.68a99bcc0284ef67356f94fde5becb81	20.343065\,21.528057\,24.017946
wss.68aa1ed740374787de650492e45fb14f	116.02324\,111.188934\,84.6006
wss.68abb162b54b88675e5d2ed0997f4f8	395.46378\,714.0397\,779.29767
wss.68ac7c1940e82ebf3480e103b4cacefa	16.51\,43.815\,16.51
wss.68b497e61a3392da3c3be2f0ebb0c535	65693.8\,26126.969\,23378.818
wss.68b7b583bf45a30bfcb8d8c6d4df8143	35.714478\,95.857666\,27.835861
wss.68bbf69cd8c771d27bf41c709bc6a298	65.28705\,23.295696\,22.271011
wss.68c411e8b84a6f16ca6895dabdbc0ada	5.0843506\,8.105682\,10.186157
wss.68c52fa67028fceb47637d2621d965b1	141.68517\,73.60064\,54.102234
wss.68c81093796a5b2de3f7a74e12a274ef	116.891655\,132.87225\,13.801201
wss.68ca370d008b024653dcd60f1eba220	150.07939\,49.79321\,58.44449
wss.68d1e8f6aa7a714d98d5fc0473d00a1c	193.96175\,257.88815\,232.54016
wss.68d8a138f5b6c437ff2e373e12f9852b	69.44064\,79.77429\,69.2445
wss.68de0d4a9cc2fed3162580bad437362	936.0001\,1604.4717\,887.43274
wss.68ed85793b50ea5ed0c025aa023b723e	20.487915\,46.058075\,48.575363
wss.68f0347e95502ce0f78bdf37d618e97e	123.875824\,142.06898\,37.309143
wss.68fc29533c292d3535836c728d324152	63.17961\,63.9524\,18.952961
wss.68ff153952368948b4eba5f9f157d8c8	22.091019\,7.8198195\,21.448397
wss.6905a604ac9a0351543dfb21494a967e	408.0796\,536.7341\,401.7417
wss.6907973366e2d8ca7f181d2694cd239b	45.838657\,11.466065\,45.838657
wss.6909da0ff58823615a82137b384b94e	31.416632\,14.238036\,25.511917
wss.6915bfd18001e31155034479f8a160c7	152.87364\,76.43695\,45.862015
wss.691b10e17ba828e2b161f36d4e309050	71.011795\,102.84463\,102.0084
wss.691f9a6b5ed418ce2e0e381869e0c221	91.811264\,60.809856\,5.961751
wss.6924eaeb9ad0b36e1031981edacf5af4	91.03131\,41.309547\,141.00862
wss.69257080fd87015369fb37a80cd44134	223.58275\,75.92366\,70.20535
wss.692b2f862730ea6b74f9f6540ca4704f	593.0595\,1088.8523\,979.8761
wss.692cda53e09fee2683fab87b95d22243	53.829914\,119.06544\,94.605225
wss.692db5a6fb6cea2174649592553d1a1f	99.441025\,47.53298\,3.843667
wss.693836c29e5fa6179a2988e955b5ae43	33.226143\,168.20764\,23.258295
wss.6938f52043f3ab7089c44fe319e6b505	97.79\,103.03586\,97.78999
wss.693dd13269f5ebb56b5bf8769486b195	20.319992\,20.28779\,0.17475891
wss.693ea96cafe8013449bda3c8c52650b7	47.72408\,53.655766\,25.337702
wss.694281d232d21a6ecf0bcb121cf32b53	153.39539\,311.6463\,153.39539
wss.6946bf798ab999b7cfbd2b4a434b378	91.47981\,59.149185\,17.189907
wss.694af585378fef692d0fc9d5a4650a3b	214.70016\,76.81577\,93.19623
wss.69564c89cb5e55e452e2d18963a75b4d	91.75659\,61.171112\,1.2234223
wss.6958af15e417ccd676efa5dffd8873f4	25.808655\,71.70697\,28.62732
wss.6963476f01b4482ae3f7a74e12a274ef	51.810837\,56.439804\,27.609728
wss.6965f4a5c8e63557104f1fb3d0e417d3	466.65256\,116.165764\,582.70264
wss.6966308db2ba9c618c476064b09f205e	80.487206\,162.80345\,68.596954
wss.696874613a962a1eb6d41c42f7ade8c8	13.510529\,17.827244\,10.789162
wss.696aa329f65bc1f4e04f90f063ec4d30	18.198055\,12.125477\,20.399323
wss.696c510736f566522d9fe390e23fd20f	3983.614\,7937.5\,4638.3687
wss.69703ee7eb8b57de35836c728d324152	42.295227\,165.50317\,42.29527
wss.6970d21f2c2146656ab04bd3af593c95	4.016738\,28.217825\,3.2133904
wss.697161cff5d04992a4dc2316a7e66d36	130.25104\,49.309513\,82.17443
wss.697a8196c8bda18eb1a8e2b93644a272	51.175323\,160.40666\,51.175278
wss.698a0a47dd9bba797ddb7abd4c043364	9153448.0\,95655.9\,7595438.0
wss.6991e020976a9e21f4d2a199196a6dad	64.60732\,114.62237\,69.222984
wss.699352851ebae49e284e26d791b72df8	54.287342\,54.287346\,70.977455
wss.699468993d0ab5cb98d5fc0473d00a1c	86.28523\,165.08353\,33.14868
wss.6994e9354b91d73d48140685266e42d	49.840183\,40.64\,49.840183
wss.69995d15339b574f4a44340bf227e40	94.77756\,69.31792\,12.598399
wss.69a283c1f95f9eb5732f216610871080	74.9996\,52.999893\,53.99991
wss.69a6dc0987bbe58123a401ca74628ea7	52.569798\,12.80586\,21.932346
wss.69ad0a6758feb409f35554ebed2bf2	367.5944\,66.21935\,367.59418
wss.69ae5e9ce88c9262dd0bffa2f83687b2	39.68858\,43.86985\,47.962852
wss.69bbe601b40e1b74fd7c1b71bb73bf5a	1735.455\,691.515\,1738.0106
wss.69c1e004f9e42b71e7e684d25d4dcaf0	215.16965\,75.89145\,92.86957
wss.69c28b2ccbdba67c10342a4f54da1ae5	33.350037\,169.52936\,33.350037
wss.69c57dd0f6abdab7ac51268fdb437a9e	113.62767\,212.39633\,113.62767
wss.69c697be6368b79795ff232cd38210b4	412.0073\,346.94418\,507.2456
wss.69c6f4956898ed853d1186ce59aba25a	90.77278\,85.16871\,130.97482
wss.69d16120042e134f6cff9b44fdf0517e	64.66429\,66.9368\,3.5920162
wss.69d6eb082d2582f9f4e11da4d9964b3b	2209.79\,2729.9158\,3137.4893
wss.69d70c404f47b1f9b137667443c4be42	23.544785\,24.990814\,26.69896
wss.69d996ed6fce735e1f6a5b0146bf3030	125.14373\,81.64772\,228.12636
wss.69dc23c3865cd62e61d6e6ff85692ef8	160.68411\,254.40831\,158.18353
wss.69dfbf071267eb4d7f48c7cfa8510a	35.56\,9.29899\,35.559998
wss.69ece333c6d386ebbeee9a165d0dbe2	514.8849\,459.96323\,408.29993
wss.6a0720d31ad6592694213594d261b459	131.36017\,118.68698\,12.475328
wss.6a0a6fcd0a5e2a9c9a4be081d49fa50d	845.82\,588.7212\,209.30667
wss.6a0b1552172c6a9a7beb00d603dfd434	40.61264\,3.9173813\,18.78829
wss.6a0d71a3b9bff151f1d8b99c2556b3f	49.55098\,91.44\,80.65549
wss.6a0e0d4496dd1e694302292cd241089a	2.0218425\,4.474535\,1.4725981
wss.6a11b81e619872ebd333084c1357713e	130.18388\,324.2996\,127.8829
wss.6a19c36dcae0658e691d63593ce8dbb	70.85608\,136.99998\,111.00003
wss.6a20911ef197f358efa66822a012535e	98.270195\,94.81575\,85.91017
wss.6a20bb557ed34b011b3ba5fca0675bd0	677.0309\,586.72314\,558.8002
wss.6a278000065e22c8d3dad974dc098fa1	265.24084\,140.78362\,50.09656
wss.6a2f5446b2d6c06d5bbea6ee257e41cc	47.26909\,1.5703114\,23.429554
wss.6a2f5f90398dca6beba48c111b1850fd	17.141846\,26.923828\,4.1386485
wss.6a311b1416a53f87697ad7b0fe6813db	71.04678\,42.92047\,71.04682
wss.6a35458cfafc140ffb287d79b19beaac	201.90611\,539.0957\,202.41641
wss.6a35ee51bebf1b3499cb1d062b75ee73	7449.268\,18302.92\,5579.9897
wss.6a36134591ec32cd37c7771ad8a91690	70.85567\,172.51814\,83.203705
wss.6a3f24e06c205f57f2303fb6f4f97c22	465.9865\,146.29886\,576.21936
wss.6a40264e5153f31235836c728d324152	30.38736\,69.131424\,30.387505
wss.6a42375c01c8168f38f776a23f4bbc94	118.39214\,84.04098\,3.3636324
wss.6a43d37841012bcaa6568a389d3a82c0	32.304382\,31.866446\,26.555374
wss.6a46b53d8b6aca8ccfd826dd468a5497	20.200493\,2.3959203\,91.993126
wss.6a4bcdda0de2810190a3f8bc630957a8	18.39313\,3.534158\,18.39313
wss.6a4dc5d91abd3ee1a502e035aafd3af8	58.651344\,155.20006\,58.651344
wss.6a5153bc31b88314cd3919f9a2e290f6	79.99986\,121.38228\,79.99989
wss.6a56fcd515b483e4c2ae46e81ac6a6e0	173.08698\,98.563416\,45.074734
wss.6a5f32168895eac2b0892e337a99f42d	80.39162\,116.33038\,77.64547
wss.6a6038ea0619ee7489452a0032ea575	264.56116\,67.10913\,225.3033
wss.6a6b7bb44ad7381e35836c728d324152	23.855244\,132.58537\,113.22209
wss.6a6dcb7bc98ede53b6c61406205e1df7	20.32\,12.07069\,6.9849997
wss.6a743f7ae8deade97e0bbc356ce23758	84.5623\,58.712452\,39.557472
wss.6a772d12b98ab61dc26651d9d35b77ca	29.86581\,9.392215\,29.81533
wss.6a78ea13e605452c8ee45bd8e008284e	4.064865\,39.038464\,13.927466
wss.6a7cac917a6db415a4c50d8427af806	194.68604\,83.23274\,93.66014
wss.6a85470c071da91a73c24ae76518fe62	73.7867\,61.552948\,26.02063
wss.6a8665f6cac2eaf73321831d2245cf06	28.775024\,61.79602\,22.210403
wss.6a878ab386c927e6d1a63a2e2039ff73	76.202576\,117.213974\,80.5026
wss.6a87e2fda2b22030bc2f4fd97ddfb2e6	149.00984\,214.5635\,355.66766
wss.6a87ea9b9a4ef7eafdf3b1725ed0985a	149.23337\,163.54788\,78.28003
wss.6a8aaa5add70d68c3321831d2245cf06	19.685001\,14.346454\,8.964935
wss.6a8aba1fd17b4665c89c5f00481a5316	302.30774\,350.60992\,859.0228
wss.6a8eaafa5ac9b617161126370eaf071	90.204346\,32.721394\,45.102173
wss.6a96d703d058790fa6491c91cd8d7770	184.45712\,119.105804\,88.44208
wss.6a973900a8d45e62a4dd752ddde80fb1	54.350887\,115.23649\,82.99244
wss.6a977967aedbb60048b9747b6b395fc5	41.12599\,57.01042\,41.054
wss.6a9b31e1298ca1109c515ccf0f61e75f	24.185509\,18.984028\,16.874695
wss.6aa2fa675c43d1f4ef821325f6597eb7	85.17728\,155.5992\,8.680756
wss.6aae88232d22273cd9b75c2536cc1186	33.19325\,24.088818\,26.364925
wss.6ab76c08976bdc6b69328f9037c800d	103.18218\,75.33866\,0.26858702
wss.6aba175c988c8bec9fac57ed2e044778	9.316406\,24.477722\,9.50359
wss.6ac5d41ea909a713ccbf33d52ffca18d	146.53537\,170.89348\,93.66808
wss.6acb5960c580494a72b92bd86ed3f51f	66.72973\,132.93483\,9.092039e-14
wss.6ad85ddb5a110664e632c30f54a9aa37	21.181454\,32.030487\,4.3396144
wss.6ad86f428cd45b5b258d4ef9a9977ede	70.02878\,94.0257\,182.56677
